match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
1082640,Gujarat Titans,Delhi Capitals,Kanpur,Green Park,2017,195,197.0,Delhi Daredevils
1082641,Mumbai Indians,Punjab Kings,Mumbai,Wankhede Stadium,2017,230,223.0,Kings XI Punjab
1082643,Gujarat Titans,Sunrisers Hyderabad,Kanpur,Green Park,2017,154,158.0,Sunrisers Hyderabad
1082644,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2017,173,164.0,Mumbai Indians
1082646,Delhi Capitals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2017,161,151.0,Royal Challengers Bangalore
1082648,Sunrisers Hyderabad,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2017,128,48.0,Kolkata Knight Riders
1082649,Mumbai Indians,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2017,107,111.0,Mumbai Indians
1136561,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2018,165,169.0,Chennai Super Kings
1136562,Delhi Capitals,Punjab Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2018,166,167.0,Kings XI Punjab
1136563,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,176,177.0,Kolkata Knight Riders
1136564,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,125,127.0,Sunrisers Hyderabad
1136565,Kolkata Knight Riders,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2018,202,205.0,Chennai Super Kings
1136566,Rajasthan Royals,Delhi Capitals,Jaipur,Sawai Mansingh Stadium,2018,153,60.0,Rajasthan Royals
1136567,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,147,151.0,Sunrisers Hyderabad
1136568,Punjab Kings,Royal Challengers Bangalore,Bengaluru,M Chinnaswamy Stadium,2018,155,159.0,Royal Challengers Bangalore
1136569,Mumbai Indians,Delhi Capitals,Mumbai,Wankhede Stadium,2018,194,195.0,Delhi Daredevils
1136570,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2018,138,139.0,Sunrisers Hyderabad
1136571,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,M Chinnaswamy Stadium,2018,217,198.0,Rajasthan Royals
1136572,Punjab Kings,Chennai Super Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2018,197,193.0,Kings XI Punjab
1136573,Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2018,200,129.0,Kolkata Knight Riders
1136574,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2018,213,167.0,Mumbai Indians
1136575,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2018,160,163.0,Kolkata Knight Riders
1136576,Punjab Kings,Sunrisers Hyderabad,Mohali,Punjab Cricket Association IS Bindra Stadium,2018,193,178.0,Kings XI Punjab
1136577,Chennai Super Kings,Rajasthan Royals,Pune,Maharashtra Cricket Association Stadium,2018,204,140.0,Chennai Super Kings
1136578,Kolkata Knight Riders,Punjab Kings,Kolkata,Eden Gardens,2018,191,126.0,Kings XI Punjab
1136579,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,M Chinnaswamy Stadium,2018,174,176.0,Royal Challengers Bangalore
1136580,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,182,178.0,Chennai Super Kings
1136581,Mumbai Indians,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,167,168.0,Rajasthan Royals
1136582,Punjab Kings,Delhi Capitals,Delhi,Arun Jaitley Stadium,2018,143,139.0,Kings XI Punjab
1136583,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Wankhede Stadium,2018,118,87.0,Sunrisers Hyderabad
1136584,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M Chinnaswamy Stadium,2018,205,207.0,Chennai Super Kings
1136585,Sunrisers Hyderabad,Punjab Kings,Hyderabad,Rajiv Gandhi International Stadium,2018,132,119.0,Sunrisers Hyderabad
1136586,Delhi Capitals,Kolkata Knight Riders,Delhi,Arun Jaitley Stadium,2018,219,164.0,Delhi Daredevils
1136587,Chennai Super Kings,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,2018,169,170.0,Mumbai Indians
1136588,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,151,140.0,Sunrisers Hyderabad
1136589,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2018,175,176.0,Kolkata Knight Riders
