match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
336015,Rajasthan Royals,Delhi Capitals,Jaipur,Sawai Mansingh Stadium,2008,156,159,Rajasthan Royals
336016,Punjab Kings,Royal Challengers Bangalore,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,143,144,Kings XI Punjab
336017,Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2008,133,110,Kolkata Knight Riders
336018,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2008,156,158,Mumbai Indians
336020,Delhi Capitals,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2008,194,182,Delhi Daredevils
336021,Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2008,67,68,Mumbai Indians
336022,Delhi Capitals,Punjab Kings,Delhi,Feroz Shah Kotla,2008,118,94,Kings XI Punjab
336023,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2008,197,132,Rajasthan Royals
336024,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,Rajiv Gandhi International Stadium,2008,178,153,Mumbai Indians
336025,Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2008,149,55,Chennai Super Kings
336026,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,M Chinnaswamy Stadium,2008,154,158,Delhi Daredevils
336027,Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2008,147,150,Rajasthan Royals
336028,Mumbai Indians,Punjab Kings,Mumbai,Wankhede Stadium,2008,189,188,Kings XI Punjab
336029,Chennai Super Kings,Royal Challengers Bangalore,Chennai,MA Chidambaram Stadium,2008,126,112,Royal Challengers Bangalore
336031,Punjab Kings,Sunrisers Hyderabad,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,175,178,Kings XI Punjab
336032,Delhi Capitals,Mumbai Indians,Delhi,Feroz Shah Kotla,2008,176,179,Delhi Daredevils
336033,Chennai Super Kings,Rajasthan Royals,Chennai,MA Chidambaram Stadium,2008,211,201,Rajasthan Royals
336002,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2008,165,171,Royal Challengers Bangalore
336035,Kolkata Knight Riders,Punjab Kings,Kolkata,Eden Gardens,2008,174,175,Kolkata Knight Riders
